jmbg,ime,prezime,dat_zaposlenja,plata,mjesto,igraonica,administrator
1609987475762,Veljko,Velièkoviæ,2015-11-09,360,76230,473920565,1
1809001466256,Irina,Stojanoviæ,2016-11-18,400,70273,580000563,0
2402994965854,Anastasija,Obradoviæ,2020-07-15,360,74480,580000563,0
3007985288598,Lara,Mihajloviæ,2016-04-05,420,71230,580000563,0
1302996283892,Dušan,Vuèkoviæ,2019-11-11,400,78240,580000563,0
2705998384567,Milan,Jeremiæ,2015-05-19,420,74208,580000563,1
2609992772277,Isidora,Iliæ,2016-08-01,380,78240,585988724,0
0908903357493,Lenka,Filipoviæ,2016-12-02,350,74208,585988724,0
1308984539233,Lana,Novakoviæ,2018-05-14,430,71123,585988724,0
2403996895824,Petar,Miliæ,2019-05-21,430,73260,585988724,0
1207985628345,Aleksej,Miletiæ,2018-10-27,380,76101,585988724,1
2204992448386,Vanja,Markoviæ,2020-01-26,420,70260,597169265,0
0308993957663,Nikolina,Laziæ,2017-07-11,390,74450,597169265,0
1606982799295,Iva,Kneževiæ,2016-11-13,430,71144,597169265,0
2202997375976,Ognjen,Grujiæ,2015-04-20,350,78220,597169265,0
0904986823772,Ilija,Miljkoviæ,2018-04-17,410,76273,597169265,1
0603998942897,Mina,Popoviæ,2017-05-08,380,70270,602268103,0
1805998698827,Naða,Petkoviæ,2018-09-25,430,74470,602268103,0
2802986392274,Magdalena,Radosavljeviæ,2015-10-08,360,71220,602268103,0
0602996676272,Kosta,Babiæ,2016-03-17,380,78230,602268103,0
1209992863637,Danilo,Nešiæ,2019-12-16,410,74101,602268103,1
1803002659533,Lena,Kostiæ,2016-01-07,410,79291,616537866,0
0304993745743,Mia,Joviæ,2018-10-25,350,75440,616537866,0
2208002735285,Filip,Vasiljeviæ,2018-12-20,440,89240,616537866,0
1608982859897,Aleksandar,Maksimoviæ,2019-01-01,410,79288,616537866,0
1204998367969,Boško,Trifunoviæ,2017-08-02,390,74317,616537866,1
2702000868443,Ana,Miloševiæ,2016-10-09,360,76300,649949451,0
1903999799653,Katarina,Stevanoviæ,2017-12-08,400,75446,649949451,0
0706005549746,Vukašin,Jevtiæ,2020-01-22,410,88280,649949451,0
2906987533538,Teodor,Anðelkoviæ,2015-04-20,440,78400,649949451,0
2603996636845,Slobodan,Božiæ,2020-06-25,370,75400,649949451,1
3103006379647,Mila,Cvetkoviæ,2017-06-19,370,76330,776870164,0
2708996624299,Andrea,Milenkoviæ,2017-04-25,350,75450,776870164,0
1202007893993,Viktor,Ðokiæ,2019-10-28,430,88363,776870164,0
0505985953887,Mateja,Jakovljeviæ,2017-10-01,430,78420,776870164,0
0802996973544,Mateo,Radivojeviæ,2018-05-16,440,75406,776870164,1
1309999366448,Aleksandra,Jovanoviæ,2019-11-11,470,78101,897063916,0
0303002887756,Milica,Krstiæ,2020-04-27,350,76256,897063916,0
1408982668983,Marija,Simiæ,2020-08-19,350,79227,897063916,0
2207009329525,Uroš,Stanojeviæ,2018-11-12,350,73110,897063916,0
2606983362256,Nemanja,Trajkoviæ,2018-11-02,420,76300,897063916,1
0608003644935,Teodora,Ristiæ,2017-10-10,430,79290,907399502,0
3103994325852,Emilija,Milovanoviæ,2015-02-12,350,75430,907399502,0
1303002795778,Vuk,Antiæ,2020-11-15,390,89230,907399502,0
0207989863669,Ðorðe,Marjanoviæ,2018-03-14,360,70273,907399502,0
0305995693425,Dejam,Boškoviæ,2020-02-25,410,74480,907399502,1
1808997689277,Ema,Nikoliæ,2018-12-20,410,78230,971027170,0
2409001744747,Helena,Lukiæ,2017-02-28,420,74101,971027170,0
0308989657384,Kalina,Nedeljkoviæ,2019-04-04,380,79263,971027170,0
1202005955724,Aleksa,Tasiæ,2015-07-30,410,73240,971027170,0
3003985263375,Sergej,Arsiæ,2018-04-20,350,75240,971027170,1
1508006333667,Tara,Dimitrijeviæ,2018-01-24,400,76101,976984843,0
3207983723353,Natalija,Mladenoviæ,2019-07-25,410,79220,976984843,0
0503003453749,Pavle,Vukoviæ,2015-07-07,390,88280,976984843,0
0308984556576,David,Veljkoviæ,2018-09-16,450,79290,976984843,0
2403997453975,Goran,Milutinoviæ,2020-07-25,370,75430,976984843,1
